Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
67,-316.7086507042952,0,0.2616432865731463,
68,-233.6189145685255,0,0.261062124248497,
69,-195.06712592373094,0,0.2604809619238477,
70,-334.2249811721823,0,0.2598997995991984,
71,-399.8313212357387,0,0.25931863727454907,
72,-655.1984597049197,0,0.2587374749498998,
73,-625.1915689239274,0,0.2581563126252505,
74,-216.79512678021126,0,0.2575751503006012,
75,-473.29572262651175,0,0.2569939879759519,
76,-527.423444228469,0,0.2564128256513026,
77,-325.20149179776956,0,0.2558316633266533,
78,-360.4441553436793,0,0.255250501002004,
79,-484.63506677034707,0,0.2546693386773547,
80,-326.4140804484724,0,0.2540881763527054,
81,-534.8724692242189,0,0.2535070140280561,
82,-230.56365055931235,0,0.2529258517034068,
83,-290.4107178596153,0,0.25234468937875754,
84,-298.9906429590244,0,0.2517635270541082,
85,-597.4894302082728,0,0.25118236472945893,
86,-628.9249434844294,0,0.2506012024048096,
87,-298.5464524386216,0,0.2500200400801603,
88,-556.2700664485799,0,0.24943887775551102,
89,-312.91096334837687,0,0.24885771543086171,
90,-124.96638608170952,0,0.2482765531062124,
91,-540.1095851692319,0,0.2476953907815631,
92,-148.54973671139442,0,0.24711422845691383,
93,-370.95938328327264,0,0.24653306613226453,
94,-161.85481285400067,0,0.24595190380761522,
95,-409.3304313642506,0,0.24537074148296592,
96,-624.8702446312029,0,0.24478957915831662,
97,-367.6120139382632,0,0.24420841683366734,
98,-377.71094379983447,0,0.24362725450901804,
99,-298.492342813938,0,0.24304609218436873,
100,-330.71583559212996,0,0.24246492985971943,-399.3090750937329
101,-507.6091198803555,0,0.24188376753507013,-398.37789685616934
102,-432.7038347323408,0,0.24130260521042085,-397.0395196519084
103,-387.41840163489513,0,0.24072144288577155,-399.68178647882814
104,-372.02187892411627,0,0.24014028056112224,-400.7765856769927
105,-335.106336680466,0,0.23955911823647294,-400.13544085841494
106,-440.2269753173947,0,0.23897795591182364,-401.1106990470217
107,-476.6049314116576,0,0.23839679358717436,-402.33794911688346
108,-666.7215066016443,0,0.23781563126252506,-407.4921372810442
109,-589.7749152721661,0,0.23723446893787575,-407.6320818079938
110,-405.1278722652071,0,0.23665330661322645,-408.3637444982375
111,-179.87116406784128,0,0.23607214428857715,-404.6470287526712
112,-528.3875720075602,0,0.23549098196392787,-407.0206694826929
113,-54.869367916027954,0,0.23490981963927854,-405.01592788502757
114,-344.9395844541369,0,0.23432865731462926,-404.28661181820445
