Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
1,-73.5,0,0.8911090557802088,-73.5
2,-74.0,0,0.6832098777212641,-73.75
3,-71.5,0,0.510849320360386,-73.0
4,-70.5,0,0.37816180712868996,-72.375
5,-74.0,0,0.28993519966087045,-72.7
6,-67.5,0,0.20826882814336947,-71.83333333333333
7,-72.0,0,0.15650920157696743,-71.85714285714286
8,-73.0,0,0.11879805134519765,-72.0
9,-49.5,0,0.0712465030521374,-69.5
10,-46.0,0,0.04125526245077418,-67.15
11,-49.5,0,0.024741930939380097,-65.54545454545455
12,-47.0,0,0.014471156162198668,-64.0
13,-50.0,0,0.00998645168764533,-62.92307692307692
14,-45.0,0,0.00998645168764533,-61.642857142857146
15,-41.0,0,0.00998645168764533,-60.266666666666666
16,-41.5,0,0.00998645168764533,-59.09375
17,-43.0,0,0.00998645168764533,-58.14705882352941
18,-44.0,0,0.00998645168764533,-57.361111111111114
19,-48.0,0,0.00998645168764533,-56.86842105263158
20,-42.0,0,0.00998645168764533,-56.125
21,-73.5,0,0.00998645168764533,-56.95238095238095
22,-44.5,0,0.00998645168764533,-56.38636363636363
23,-43.0,0,0.00998645168764533,-55.80434782608695
24,-46.5,0,0.00998645168764533,-55.416666666666664
25,-43.0,0,0.00998645168764533,-54.92
26,-47.0,0,0.00998645168764533,-54.61538461538461
27,-43.0,0,0.00998645168764533,-54.18518518518518
28,-43.5,0,0.00998645168764533,-53.80357142857143
29,-46.5,0,0.00998645168764533,-53.55172413793103
30,-45.5,0,0.00998645168764533,-53.28333333333333
31,-45.0,0,0.00998645168764533,-53.016129032258064
32,-44.5,0,0.00998645168764533,-52.75
33,-44.5,0,0.00998645168764533,-52.5
34,-43.5,0,0.00998645168764533,-52.23529411764706
35,-50.0,0,0.00998645168764533,-52.17142857142857
36,-49.5,0,0.00998645168764533,-52.09722222222222
37,43.0,1,0.00998645168764533,-49.527027027027025
38,-43.0,0,0.00998645168764533,-49.35526315789474
39,-89.0,0,0.00998645168764533,-50.37179487179487
40,-44.0,0,0.00998645168764533,-50.2125
41,-41.5,0,0.00998645168764533,-50.0
42,51.5,1,0.00998645168764533,-47.583333333333336
43,-48.5,0,0.00998645168764533,-47.604651162790695
44,49.5,1,0.00998645168764533,-45.39772727272727
45,-89.0,0,0.00998645168764533,-46.36666666666667
46,-89.0,0,0.00998645168764533,-47.29347826086956
47,135.5,2,0.00998645168764533,-43.40425531914894
48,46.5,1,0.00998645168764533,-41.53125
49,22.0,1,0.00998645168764533,-40.234693877551024
50,135.0,2,0.00998645168764533,-36.73
51,47.5,1,0.00998645168764533,-35.07843137254902
52,-74.5,0,0.00998645168764533,-35.83653846153846
53,-36.5,0,0.00998645168764533,-35.84905660377358
54,43.0,1,0.00998645168764533,-34.388888888888886
55,-74.5,0,0.00998645168764533,-35.11818181818182
56,-75.0,0,0.00998645168764533,-35.830357142857146
57,-75.0,0,0.00998645168764533,-36.51754385964912
58,-46.0,0,0.00998645168764533,-36.68103448275862
59,-45.0,0,0.00998645168764533,-36.82203389830509
60,48.5,1,0.00998645168764533,-35.4
61,-43.0,0,0.00998645168764533,-35.52459016393443
62,-42.0,0,0.00998645168764533,-35.62903225806452
63,-43.5,0,0.00998645168764533,-35.75396825396825
64,-43.0,0,0.00998645168764533,-35.8671875
65,-43.5,0,0.00998645168764533,-35.98461538461538
66,-41.5,0,0.00998645168764533,-36.06818181818182
67,-43.5,0,0.00998645168764533,-36.17910447761194
68,-75.0,0,0.00998645168764533,-36.75
69,-75.0,0,0.00998645168764533,-37.30434782608695
70,-41.5,0,0.00998645168764533,-37.364285714285714
71,-75.0,0,0.00998645168764533,-37.894366197183096
72,14.0,1,0.00998645168764533,-37.173611111111114
73,-75.0,0,0.00998645168764533,-37.69178082191781
74,-42.5,0,0.00998645168764533,-37.75675675675676
75,23.5,1,0.00998645168764533,-36.94
76,-43.0,0,0.00998645168764533,-37.01973684210526
77,-75.0,0,0.00998645168764533,-37.51298701298701
78,-75.0,0,0.00998645168764533,-37.993589743589745
79,-89.0,0,0.00998645168764533,-38.639240506329116
80,-43.0,0,0.00998645168764533,-38.69375
81,-75.0,0,0.00998645168764533,-39.141975308641975
82,-75.0,0,0.00998645168764533,-39.579268292682926
83,-75.0,0,0.00998645168764533,-40.006024096385545
84,-43.0,0,0.00998645168764533,-40.041666666666664
85,-43.0,0,0.00998645168764533,-40.076470588235296
86,-40.5,0,0.00998645168764533,-40.08139534883721
87,-75.0,0,0.00998645168764533,-40.48275862068966
88,-75.0,0,0.00998645168764533,-40.875
89,-75.0,0,0.00998645168764533,-41.258426966292134
90,-75.0,0,0.00998645168764533,-41.63333333333333
91,-75.0,0,0.00998645168764533,-42.0
92,-41.5,0,0.00998645168764533,-41.994565217391305
93,462.5,6,0.00998645168764533,-36.56989247311828
94,108.0,2,0.00998645168764533,-35.03191489361702
95,-89.0,0,0.00998645168764533,-35.6
96,-89.0,0,0.00998645168764533,-36.15625
97,-1.5,1,0.00998645168764533,-35.79896907216495
98,19.0,1,0.00998645168764533,-35.23979591836735
99,-75.0,0,0.00998645168764533,-35.64141414141414
100,-41.0,0,0.00998645168764533,-35.695
101,7.0,1,0.00998645168764533,-34.89
102,20.5,1,0.00998645168764533,-33.945
103,52.0,1,0.00998645168764533,-32.71
104,227.5,3,0.00998645168764533,-29.73
105,-39.0,0,0.00998645168764533,-29.38
106,-75.0,0,0.00998645168764533,-29.455
107,194.0,3,0.00998645168764533,-26.795
108,89.5,2,0.00998645168764533,-25.17
109,-72.0,0,0.00998645168764533,-25.395
110,13.5,1,0.00998645168764533,-24.8
111,-75.0,0,0.00998645168764533,-25.055
112,28.0,1,0.00998645168764533,-24.305
113,235.0,3,0.00998645168764533,-21.455
114,-38.5,0,0.00998645168764533,-21.39
115,-42.5,0,0.00998645168764533,-21.405
116,-41.5,0,0.00998645168764533,-21.405
117,51.5,1,0.00998645168764533,-20.46
118,-43.0,0,0.00998645168764533,-20.45
119,280.0,4,0.00998645168764533,-17.17
120,299.0,4,0.00998645168764533,-13.76
121,-41.5,0,0.00998645168764533,-13.44
122,146.5,2,0.00998645168764533,-11.53
123,-89.0,0,0.00998645168764533,-11.99
124,-40.0,0,0.00998645168764533,-11.925
125,212.5,3,0.00998645168764533,-9.37
126,51.0,1,0.00998645168764533,-8.39
127,-89.0,0,0.00998645168764533,-8.85
128,42.5,1,0.00998645168764533,-7.99
129,50.5,1,0.00998645168764533,-7.02
130,-49.5,0,0.00998645168764533,-7.06
131,50.0,1,0.00998645168764533,-6.11
132,-49.5,0,0.00998645168764533,-6.16
133,14.5,1,0.00998645168764533,-5.57
134,-38.5,0,0.00998645168764533,-5.52
135,-41.0,0,0.00998645168764533,-5.43
136,115.0,2,0.00998645168764533,-3.785
137,-89.0,0,0.00998645168764533,-5.105
138,-89.0,0,0.00998645168764533,-5.565
139,-40.0,0,0.00998645168764533,-5.075
140,-64.0,0,0.00998645168764533,-5.275
141,52.0,1,0.00998645168764533,-4.34
142,-69.0,0,0.00998645168764533,-5.545
143,52.5,1,0.00998645168764533,-4.535
144,-43.0,0,0.00998645168764533,-5.46
145,31.0,1,0.00998645168764533,-4.26
146,3.0,1,0.00998645168764533,-3.34
147,-39.0,0,0.00998645168764533,-5.085
148,14.0,1,0.00998645168764533,-5.41
149,-41.0,0,0.00998645168764533,-6.04
150,-42.0,0,0.00998645168764533,-7.81
151,-49.5,0,0.00998645168764533,-8.78
152,-43.0,0,0.00998645168764533,-8.465
153,191.0,3,0.00998645168764533,-6.19
154,-89.0,0,0.00998645168764533,-7.51
155,-89.0,0,0.00998645168764533,-7.655
156,-89.0,0,0.00998645168764533,-7.795
157,-89.0,0,0.00998645168764533,-7.935
